author,username,retweet_count,tweets,created_at,type
annelycstae,cenoramoons,0,"@annelycstae bts dah kebanyakan duit, aku kelabakan nyari duit",2021-12-06 02:59:27,replied_to
ARMYTEAMIID,RJinzen,0,@ARMYTEAMIID @BTS_twt Ga bisa sayaaang... Udah terlanjur viral yuk aku temenin ngedance nya kita malu bareng gpp 😅😅,2021-12-06 02:59:22,replied_to
gjlsbgtdeh,tiara_lemoon,67,RT @gjlsbgtdeh: Tahun ini bighit ngeluarin berita kalo  bangtan bakal dikasih jeda untuk istirahat dan kumpul bareng keluarg ataupun temen…,2021-12-06 02:59:21,retweeted
only7even,kingofowls3,114,RT @only7even: @BOMHARU1230 @BTS_twt seokjin: https://t.co/baJO8CyVoN,2021-12-06 02:59:20,retweeted
kthtrads,mgvrosa,107,"RT @kthtrads: Kim Taehyung para BTS x LV by Vogue, GQ. https://t.co/V8nUFpPDJD",2021-12-06 02:59:19,retweeted
vkookssky,taelvlz_,421,RT @vkookssky: “bts bakal fokus ke prepare konser &amp; release album baru.. mereka lg prepare buat konser bulan maret di seoul” YEAY,2021-12-06 02:59:18,retweeted
Trus,vbw2130,0,Trus mereka sesibuk itu masih sempet lanjut kuliah S2.. jin ga bs masuk kuliah krn nerima awards ijin personal ke dosennya langsung. Aku ga manggung dan bukan BTS jadi malu klo ngeluh males.. 🥲🥲🥲,2021-12-06 02:59:17,replied_to
BTS_twt,ssugashadow,0,"@BTS_twt YOONGI HUAAAAAAA😭😭😭😭😭😭 tadi ada yg ultah juga, yg ngucapin banyak banget😭😭 iriiii😭😭😭 boro² mutual, orang rl aja yg ngucapin bisa diitung jari☺️ udah ah gamau ngucapin orang ultah lagi, benci bgt",2021-12-06 02:59:16,replied_to
7btsupdates,jeylaivTK,135,"RT @7btsupdates: Jin on weverse

🐹: tidak, ada begitu banyak lagu yang bisa kalian lakukan tapi kenapa kalian melakukan super tuna challeng…",2021-12-06 02:59:12,retweeted
ARMYTEAMIID,Suganeun,1336,"RT @ARMYTEAMIID: 『Trans ID』 

🐹 : seokjin-ah Selamat datang di korea 

#방탄소년단 #BTS @BTS_twt
https://t.co/8qdL5pdpwk",2021-12-06 02:59:08,retweeted
mindofseok,amoresjinnie,97,"RT @mindofseok: {HELP RT!}
WTS PC BTS OFFICIAL
🏡dom bekasi
bisaa fullpay 🍊 keep event dp 50% 
cancel dp hangus‼️
❌sensitive buyyer❌
‼️tolon…",2021-12-06 02:59:07,retweeted
jeonbahm,kookakoolaa,0,@jeonbahm @ayusabbath @BTS_twt rest masih ada ih😡,2021-12-06 02:59:07,replied_to
