author,username,retweet_count,tweets,created_at,type
15.,jung_nuttela,0,"15. pernah suka sm partner yg juara 1 di sd berakhir kita dlu sering ganti gantian 1-2 1-2 trs, eh skrng jadi temen, btw dia masuk cf ku juga",2021-12-06 02:48:45,replied_to
HansChr55339048,Pengennikah16,0,@HansChr55339048 @XumaFans Kalo Minions mundur di Indonesia open ga ada yng juara mas indonesia greyap kmren tuner up emng ga ngarep Minions mnang kn di Indonesia open yng diharpin Fajri tpi nyatanya apa Minions lagi yng difinal dan tulang punggung. kita mah enak tinggal ngmong diaorang yng nanggung beban,2021-12-06 02:48:31,replied_to
convomf,manjirobayi,0,"@convomf di kelas gue dimas juara kelas, kaga peduli sama cewe, di otaknya belajar mulu",2021-12-06 02:47:14,replied_to
,Farder11,0,Aceh Raih Tiga Juara Nasional Vokalis Gambus dan Pop Religi di NTB - Click to see also ☛  https://t.co/RANjfrQAD5,2021-12-06 02:47:00,
,OTOMOTIFZONE,0,Qarrar Firhand Ali Sabet Seri 6 Mantapkan Juara Nasional Mini Rok Indonesia 2021 https://t.co/dYB6hbV0WC,2021-12-06 02:46:45,
Ulvatus1,mimitiani09,9,RT @Ulvatus1: Fandom amanda manopo emang juara,2021-12-06 02:45:07,retweeted
ecahyas,ajimuharaam,0,@ecahyas @Ekomaung Si eko ngabangus na mah juara nya capruk na,2021-12-06 02:45:02,replied_to
,muhammadiyah,7,"Tim UMM berhasil meraih juara tiga dalam kompetisi debat nasional, tepatnya dalam perhelatan NASTEC (National Accounting Seminar and Debate Competition). 

https://t.co/uqu6DbgKjA 
#Muhammadiyah #DebatNasional #Pendidikan",2021-12-06 02:45:00,
,hariankompas,0,"Ganda putra Kevin/Marcus merasa puas meskipun gagal meraih gelar juara Final BWF World Tour. Rangkaian turnamen bulu tangkis selama tiga pekan terakhir di Bali telah menghadirkan banyak kejutan. #Olahraga #AdadiKompas @iya_sapthiani 

https://t.co/CVMX0NCPNW",2021-12-06 02:45:00,
bdmntnfans,cutiegurlssv,41,"RT @bdmntnfans: Jadi inget vidio game kevin sama vidi, kevin bilang dari kecil udah pengen jadi juara dunia, yes vin u can!! and we know u…",2021-12-06 02:44:47,retweeted
