author,username,retweet_count,tweets,created_at,type
,HumaspolresKaur,0,"Polri Terus Evakuasi Masyarakat Terdampak Erupsi Gunung Semeru

Kepolisian Negara Republik Indonesia (Polri) terus mengerahkan prajuritnya untuk mengevakuasi masyarakat terdampak erupsi Gunung Semeru. https://t.co/LBODHVfrr6",2021-12-06 02:59:22,
atr_bpn,KantahkabNatuna,70,"RT @atr_bpn: Lahirnya Reforma Agraria bagi Kesejahteraan Masyarakat Indonesia

Cek berita selengkapnya https://t.co/8JljSEXP1W https://t.co…",2021-12-06 02:59:14,retweeted
,sukanyahahahihi,0,"Lahan: Spek A B C D E F G
Request manusia Indonesia: Spek A

Cust education juga butuh kayaknya ini https://t.co/zMDYLLhDzb",2021-12-06 02:59:14,
Satria_Maul,AlibArselan3,1,"@Satria_Maul @AntonTenabang02 @ihwandes @xyoudie @ydp0404 @Putrakawom @PejuangKeluar15 @RiyanTri19 @NetizenBerisik @sep_colin @417DY_K0PL4X @KeithRizal161 @GimbalDe @HERMAN49862187 @Hail_Indonesia @Thavit_Amoura @hope_4bttrLIFE @AmeliaRieska03 @Cute_Tagar @warrior_ladys @maylafandri_38 @dandeli0n_wish @vivivivere2 @HamzhYie @Deguzel_ @RikeSants @MissKoral @_T0ean__M0eda_ @GnwnMulyadi @naMujahid1 @mohtahid Misami☺️🙏 sdh disampaikan blom bang Maul ?

#DukaSemeruDukaIndonesia
#DukaSemeruDukaIndonesia",2021-12-06 02:59:13,replied_to
,AlbertSolo2,1,"Presiden Suriname mengajak seluruh rakyat Suriname, untuk mendoakan kesembuhan bagi ibunda Raja Belanda Wilhelm Alexander, Mama Beatrix yang terkonfirmasi positif Covid-19 dan kini sedang menjalani karantina mandiri, Suriname adalah bekas jajahan Belanda seperti halnya Indonesia",2021-12-06 02:59:11,
FPKSDPRRI,gus_sugiarto,59,"RT @FPKSDPRRI: Negeri ini ""rawan bencana"" maka setiap warga Indonesia harus ""tanggap bencana"" 🛡

PKS bersama relawan, TNI/Polri, Pemda dan…",2021-12-06 02:59:11,retweeted
,PolsekWuryanto,0,"Kepolisian Negara Republik Indonesia (POLRI) terus hadir untuk masyarakat, dengan sigap Korps Bhayangkara terjun mengevakuasi masyarakat terdampak erupsi Gunung Semeru yang berada di Lumajang, Jawa Timur. 

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang",2021-12-06 02:59:10,
,WarungSejarahRI,0,"100 Tokoh Yang Mengubah Indonesia

Penyusun: Floriberta Aning S

Tahun 2006.
288 halaman

Harga 75.000.
minat?  

Order:
DM / Klik WA https://t.co/bSBuqUJdLQ https://t.co/TJLHVByaWw",2021-12-06 02:59:09,
,bliCokEka,0,"siaPBB Sukseskan Muktamar VII &amp; Milad Ke 31 IKATAN CENDEKIAWAN MUSLIM se- INDONESIA | Membangun Indonesia Bermartabat.

#pancasilasakti 
#menyamabrayabali🙏🇮🇩 https://t.co/AQNw6Tgkzm",2021-12-06 02:59:08,
,Design4rt,0,"Baca Manga Bahasa Indonesia

Mushoku Tensei – Roxy is Serious https://t.co/ay0XCkj7Wt",2021-12-06 02:59:07,
RomitsuT,yudhawirapp,254,"RT @RomitsuT: Pelan pelan tapi pasti.....

""Indonesia"" lama lama hanya sebuah nama. https://t.co/Ei9IDJVk79",2021-12-06 02:59:07,retweeted
WatchmenID,pengamatcilik,145,"RT @WatchmenID: Yuni

Perwakilan Indonesia di kategori Best International Feature Film di 94th Academy Award.
Peraih Silver Hanoman Award d…",2021-12-06 02:59:07,retweeted
ShopeeID,142Grecia,1180,"RT @ShopeeID: HAPPY BIRTHDAY URI LEADER, CHOI SOOBIN 🧡🥳 

Saksikan Tomorrow X Together di Shopee 12.12 Birthday Sale TV Show ya! 
📅Minggu,…",2021-12-06 02:59:04,retweeted
galatia_grady,galatia_grady,1,RT @galatia_grady: tapi media-media lacur di Indonesia gak mau beritakan efek samping /efek negatif dari vaksin.,2021-12-06 02:59:03,retweeted
Menkeu,MunawirSamosir,0,"Menkeu Soroti Penyerapan Otsus Papua yang Masih Rendah. Dana 12T Yang Dikucurkan Pemerintah Indonesia Untuk Beasiswa Pendidikan Putra Putri Papua Belum Disalurkan Oleh Pemda Papua
https://t.co/mqNu78Lohn   Disiplin Protokol Kesehatan",2021-12-06 02:59:03,replied_to
