author,username,retweet_count,tweets,created_at,type
detikcom,xxirishman,0,"@detikcom Piala Thomas itu major eventnya badminton, 19th baru bisa dapetin lagi dan gak ada bonus sama sekali dari pemerintah itu keterlaluan. Maaf, tapi kalo udah menyangkut sepakbola, deres bener.",2021-12-06 02:37:51,replied_to
,wardanafisa,0,"Tadi pagi badminton-an sm adik, yg berakhir dengan… aduuduhh ga shanggoooppp..!
Adikku skrg aselik jago bgt badminton nyaaa😭 udh bisa segala macem skill aku gapahaamm.. ya selain (ofcourse) tingginya yg over itu yhaa 😌🥲",2021-12-06 02:36:32,
winjungho,kitaya____,0,"@winjungho @Strawberrytrap4 @ariafara_ @detikcom Bener si, tp tetep badminton paling membanggakan, berjuang bonus kan sebenernya demi kesejahteraan atlet, kalo pengurusnya masa bodo ya kasian dong atlet",2021-12-06 02:35:06,replied_to
RudyRoedyanto,desicahya,0,"@RudyRoedyanto Sudah koh, tarik mundur semua squad badminton dari Kejuaraan Dunia.. mendidih juga lama2 nih. 😣",2021-12-06 02:34:30,replied_to
cchayounq,skeleteos,1,RT @cchayounq: @yamagufchi bangke banget dah cowo badminton kenapa bikin galau mulu,2021-12-06 02:34:20,retweeted
yamagufchi,cchayounq,1,@yamagufchi bangke banget dah cowo badminton kenapa bikin galau mulu,2021-12-06 02:34:10,replied_to
Selama,revitacu,0,"Selama ini Badminton kurang prestasi apa coba ya, lu kalo kinta fokus prestasi bilang sama cabor lain  lah jangan ke badminton lol. Cabor mana yang jadi satu2 nya andalan buat dapetin gold medal olympic? Ya BADMINTON. First gold olympic dari cabor mana coba? Ya BADMINTON",2021-12-06 02:33:58,replied_to
bhulukhuduktv,OoniionR,6,"RT @bhulukhuduktv: Berikut prediksi ranking Versi Team #BhulukhudukTV 

Women's Singles

Tunggal Putri Asal Korea, An Seyoung naik 2 strip…",2021-12-06 02:32:14,retweeted
,seleneripe,0,pengen badminton ketimbang nunggu balesan. duh masa mo servis nyemash sendiri. kuakh,2021-12-06 02:29:17,
,ginanralwyh,0,Padahal yang ditungguin breaking news dari badminton tapi dapet berita bahagia dari taeyang dulu 😭 tapi aku seneng yaampun sehat sehatt min hyorin dan baby boy 🥰 aaaaa vip jadi auntyyyy,2021-12-06 02:26:06,
